suite_name,config_name,label,fold,run_id,train_rows,test_rows,test_start,test_end,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,cumulative_return,sharpe,max_drawdown,turnover,hit_rate,cost_adjusted_return
long_history_h4_naive_vs_best,majority_ohlcv,Majority,1,majority_ohlcv_wf_fold01_20260325T083229Z,47296,7882,2024-10-19T21:00:00+00:00,2025-02-06T08:00:00+00:00,0.5148439482364882,0.5148439482364882,1.0,0.6797319932998325,0.5,0.5,0.597229698625179,0.47049472867383524,-1.1290889309472047,0.0015220700152207,0.5235920852359208,0.0004750505609673751
long_history_h4_naive_vs_best,majority_ohlcv,Majority,2,majority_ohlcv_wf_fold02_20260325T083229Z,55178,7882,2025-02-06T08:00:00+00:00,2025-05-26T19:00:00+00:00,0.5098959654909921,0.5098959654909921,1.0,0.6754054281152845,0.5,0.5,-0.12342581846150125,0.0407689312138593,-0.674292554937633,0.0015220700152207,0.517503805175038,6.0122555715250846e-05
long_history_h4_naive_vs_best,majority_ohlcv,Majority,3,majority_ohlcv_wf_fold03_20260325T083229Z,63060,7882,2025-05-26T19:00:00+00:00,2025-09-13T07:00:00+00:00,0.5169351769630851,0.5169351769630851,1.0,0.6815520990132129,0.5,0.5,0.9598958216389641,0.7517664237644242,-0.4302810391514875,0.0015220700152207,0.519533231861999,0.0005826092173555516
long_history_h4_naive_vs_best,majority_ohlcv,Majority,4,majority_ohlcv_wf_fold04_20260325T083229Z,70942,7882,2025-09-13T07:00:00+00:00,2025-12-31T18:00:00+00:00,0.4911190053285968,0.4911190053285968,1.0,0.6587254318046456,0.5,0.5,-0.568035868391046,-0.7003503879028389,-0.67795106472562,0.0015220700152207,0.487062404870624,-0.0006175767071751426
long_history_h4_naive_vs_best,random_ohlcv,Random,1,random_ohlcv_wf_fold01_20260325T083229Z,47296,7882,2024-10-19T21:00:00+00:00,2025-02-06T08:00:00+00:00,0.4998731286475514,0.5144782825761358,0.507885657959586,0.5111607142857143,0.4996279754233076,0.5,0.4270268032712137,0.3968505672970424,-0.5854992681059006,1.0050735667174024,0.5088787417554541,0.0002050446402086766
long_history_h4_naive_vs_best,random_ohlcv,Random,2,random_ohlcv_wf_fold02_20260325T083229Z,55178,7882,2025-02-06T08:00:00+00:00,2025-05-26T19:00:00+00:00,0.4986044151230652,0.5083645443196005,0.5065936800199055,0.5074775672981057,0.49844309939385123,0.5,-0.7299001296083468,-0.8501995758300261,-0.8303926597748678,1.0121765601217656,0.49213597158802636,-0.0008333529368064083
long_history_h4_naive_vs_best,random_ohlcv,Random,3,random_ohlcv_wf_fold03_20260325T083229Z,63060,7882,2025-05-26T19:00:00+00:00,2025-09-13T07:00:00+00:00,0.5015856907268806,0.5181501740427648,0.5114110429447852,0.5147585525503273,0.5012412357581069,0.5,0.4140027622749338,0.451122805822937,-0.32037360026243267,1.0071029934043634,0.5063419583967529,0.00015500820550342102
long_history_h4_naive_vs_best,random_ohlcv,Random,4,random_ohlcv_wf_fold04_20260325T083230Z,70942,7882,2025-09-13T07:00:00+00:00,2025-12-31T18:00:00+00:00,0.5001268713524486,0.49139006738208135,0.5086540945492121,0.4998730642294999,0.5002756885112054,0.5,-0.6743625863542348,-1.2236591479220313,-0.7477200227727102,1.0121765601217656,0.4941653982749873,-0.0007302377305755292
long_history_h4_naive_vs_best,persistence_ohlcv,Persistence,1,persistence_ohlcv_wf_fold01_20260325T083230Z,47296,7882,2024-10-19T21:00:00+00:00,2025-02-06T08:00:00+00:00,0.48832783557472725,0.5030902348578492,0.5014785608674224,0.502283105022831,0.48792547290233046,0.48792547290233046,-0.7515754478204915,-0.8894099508907408,-0.8600410907765148,1.0162354134956875,0.4728564180618975,-0.0010252665162946326
long_history_h4_naive_vs_best,persistence_ohlcv,Persistence,2,persistence_ohlcv_wf_fold02_20260325T083230Z,55178,7882,2025-02-06T08:00:00+00:00,2025-05-26T19:00:00+00:00,0.49885815782796245,0.5086401202103682,0.505349589450112,0.5069895157264104,0.4987270856906268,0.49872708569062685,-0.2964680267322044,-0.11764416398247134,-0.5695755358615002,1.0101471334348047,0.5088787417554541,-0.00018173105964795297
long_history_h4_naive_vs_best,persistence_ohlcv,Persistence,3,persistence_ohlcv_wf_fold03_20260325T083230Z,63060,7882,2025-05-26T19:00:00+00:00,2025-09-13T07:00:00+00:00,0.48344538881136623,0.5003702789434707,0.4974233128834356,0.4988924440068915,0.48295535392070943,0.48295535392070943,-0.1761146402138355,-0.09759907634283191,-0.34534572352471016,1.0253678335870118,0.4779299847792998,-0.00027163636568928784
long_history_h4_naive_vs_best,persistence_ohlcv,Persistence,4,persistence_ohlcv_wf_fold04_20260325T083230Z,70942,7882,2025-09-13T07:00:00+00:00,2025-12-31T18:00:00+00:00,0.4898502918041106,0.481089258698941,0.4928958925342289,0.4869210156947812,0.4899034436493134,0.4899034436493134,0.08728797252386289,0.17901936388308703,-0.29932859826608604,0.9959411466260781,0.4911212582445459,0.00026265689608020835
long_history_h4_naive_vs_best,logistic_ohlcv,LogReg,1,logistic_ohlcv_wf_fold01_20260325T083231Z,47296,7882,2024-10-19T21:00:00+00:00,2025-02-06T08:00:00+00:00,0.5180157320477037,0.5283060109289618,0.5956136027599803,0.5599443993976602,0.515641529413463,0.5207044275371134,0.8248612147426988,0.5842973579974876,-0.43360717749375755,0.6621004566210046,0.5291730086250634,0.0003738502103710156
long_history_h4_naive_vs_best,logistic_ohlcv,LogReg,2,logistic_ohlcv_wf_fold02_20260325T083231Z,55178,7882,2025-02-06T08:00:00+00:00,2025-05-26T19:00:00+00:00,0.5175082466379092,0.5253045923149016,0.5578502114953968,0.5410884517919633,0.5166936793951227,0.5210052277568167,-0.3202038768968496,-0.15119657197988026,-0.6821643550560668,0.7584982242516489,0.5190258751902588,-7.99157338903765e-05
long_history_h4_naive_vs_best,logistic_ohlcv,LogReg,3,logistic_ohlcv_wf_fold03_20260325T083231Z,63060,7882,2025-05-26T19:00:00+00:00,2025-09-13T07:00:00+00:00,0.5003171381453762,0.5164648910411622,0.5234355828220859,0.519926873857404,0.49950665695726143,0.5017641258957571,-0.052219209753835094,0.03567496545115899,-0.9196909326280963,0.5210553018772197,0.5027904616945713,-6.047419599000485e-06
long_history_h4_naive_vs_best,logistic_ohlcv,LogReg,4,logistic_ohlcv_wf_fold04_20260325T083231Z,70942,7882,2025-09-13T07:00:00+00:00,2025-12-31T18:00:00+00:00,0.5143364628266938,0.5052020324219695,0.539395505037458,0.5217391304347826,0.5147737934062883,0.5139435397915355,-0.2136141593667692,-0.14276214334885728,-0.5088135570940988,0.5301877219685439,0.5301877219685439,5.416804141307278e-05
long_history_h4_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),1,cnn_ohlcv_open_interest_wf_fold01_20260325T083235Z,47280,7880,2024-10-21T18:00:00+00:00,2025-02-06T07:00:00+00:00,0.515828918464918,0.5340715502555367,0.4717832957110609,0.500998801438274,0.5172082789855944,0.5229629224082746,0.18256434126360133,0.2614707902313019,-0.34328478912453053,0.01808785529715762,0.5193798449612403,0.000306860182480963
long_history_h4_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),2,cnn_ohlcv_open_interest_wf_fold02_20260325T083404Z,55160,7880,2025-02-08T06:00:00+00:00,2025-05-26T18:00:00+00:00,0.5197053882930611,0.5198223392005265,0.7983830217281456,0.6296702201853144,0.5131825185340013,0.5219164490840683,0.592872084771809,0.4979187334294551,-0.4922903537954325,0.04289405684754522,0.5188630490956072,0.0007137364042237545
long_history_h4_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),3,cnn_ohlcv_open_interest_wf_fold03_20260325T083525Z,63040,7880,2025-05-28T17:00:00+00:00,2025-09-13T08:00:00+00:00,0.512210879958651,0.5165949173725871,0.9267563527653214,0.6633972358448507,0.4961298542350097,0.4919833936925459,0.3339457714363363,0.43838311583033973,-0.3073141586339141,0.053229974160206715,0.5116279069767442,0.0003183590317028766
long_history_h4_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),4,cnn_ohlcv_open_interest_wf_fold04_20260325T083743Z,70920,7880,2025-09-15T08:00:00+00:00,2025-12-31T19:00:00+00:00,0.4996769608476547,0.4955066625348621,0.8384897745149449,0.6229061160888196,0.5044678171937782,0.5142054248678185,-0.3027116197992741,-0.6774652631416841,-0.40159649766782946,0.05839793281653747,0.5012919896640827,-0.0004920875208341831
