label,horizon,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,cumulative_return_mean,cumulative_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,hit_rate_mean,hit_rate_std,turnover_mean,turnover_std
1D CNN (OHLCV + Open Interest),1,4,0.5079134366925064,0.004091116433589963,0.5002620034769205,0.0012950088955729505,0.6602321213411526,0.024383468505450548,0.5002210370467072,0.007116262611198876,0.08379326062587947,0.2476973326496807,0.0828379038665629,0.28466364996929316,-0.35280034204480903,0.09347922883757945,0.5079134366925064,0.004091116433589963,0.003746770025839775,0.0020832707359944498
1D CNN (OHLCV + Open Interest),4,4,0.5118555368910712,0.0075141851072764825,0.507747117237096,0.00813590464120918,0.6042430933893146,0.061549662028933284,0.5127670475131769,0.012466922330030864,0.20166764441811813,0.3260758329759289,0.13007684408735312,0.4742755097994256,-0.3861214498054266,0.06992296103724537,0.5127906976744186,0.007312022323943667,0.043152454780361726,0.015510334572050552
1D CNN (OHLCV + Open Interest),12,4,0.5017286644481807,0.014666092468548256,0.4991091495850729,0.013468002213377515,0.6016592776945062,0.06313331592601468,0.5168476115636267,0.017459255776246428,-0.1057218548348042,0.32681823516346026,0.019945191834919405,0.85140999173559,-0.4652645923202356,0.17144401215071614,0.5112403100775194,0.017381463042464115,0.09999999999999995,0.0591336202931583
1D CNN (OHLCV + Open Interest),24,4,0.5185403103668997,0.013841706714935804,0.5050581554651314,0.008760982258189748,0.6562903814197517,0.050934522724162226,0.49828677190747667,0.020989572979889282,0.24970208912013678,0.35643614259770995,0.6865393768195143,0.6853544546606687,-0.5282523070514751,0.24717589970510204,0.5138888888888888,0.028329567516490448,0.04783950617283945,0.06682294782287336
LogReg,1,4,0.5122886526072938,0.002874089123328825,0.5115423545061744,0.0031696478406357353,0.534409311248425,0.0077938857773205365,0.5162502941130931,0.005656360156789039,-0.307031753038962,0.16753568802346944,-0.3731057173287001,0.2365041934039586,-0.5186090342907358,0.15316123008057764,0.5113055444693971,0.003072283011858124,0.7562280356492238,0.10263132715773575
LogReg,4,4,0.5125443949144207,0.0071988309720600685,0.5116539147930338,0.007046094895325099,0.5356747138704525,0.016282821811969862,0.5143543302453057,0.0077980793738642315,0.05970599218131126,0.4519472257096067,0.08150340202997727,0.299727509792216,-0.6360690055680049,0.18691637150552617,0.5202942668696093,0.01100800302067333,0.6179604261796042,0.09848079215624923
LogReg,12,4,0.5107868020304568,0.013844415757416495,0.5104645123704212,0.012762577009210598,0.5407609477972946,0.02998633359553854,0.5087677548208135,0.019734036149048614,0.6059500249990186,0.9764048774411158,0.24232003194027482,1.4549608791747457,-0.5582694347081885,0.09562901732841238,0.5026636225266362,0.017565736510782023,0.5030441400304414,0.06516077552691504
LogReg,24,4,0.5056500761808025,0.01698680531889771,0.5045123074034933,0.015463053969756602,0.5424719441621335,0.04168499974457932,0.5068405072450897,0.022207741103175624,0.27380841982952137,0.6253638749249298,0.4125945836512888,0.9218324747407414,-0.36161306745811117,0.12153364045495597,0.5113636363636364,0.024088050144825235,0.5287878787878788,0.0857500799807941
Majority,1,4,0.5076584678652333,0.004795832070210852,0.5,0.0,0.6734261832098012,0.004222034084869098,0.5,0.0,0.07284613135455333,0.299770540060269,0.08220467177008971,0.30538173514864647,-0.35491403228095075,0.09323542043579591,0.5076584678652333,0.004795832070210852,0.00038055370678975,2.0901802933145848e-08
Majority,4,4,0.5081985240047906,0.010186781065950614,0.5,0.0,0.6738537380582439,0.009015154438694252,0.5,0.0,0.21641595835289895,0.5976283363517644,0.14066992393731995,0.5476127069369532,-0.7279033974404863,0.25243724884914365,0.5119228817858954,0.014519622548203128,0.0015220700152207,0.0
Majority,12,4,0.5133565989847716,0.024922477495193798,0.5,0.0,0.6780787925923255,0.02159604408957819,0.5,0.0,0.0670039721444419,0.44152920915607846,0.31369014468858375,0.98470531264575,-0.6307132829455349,0.3107851785973703,0.5140791476407914,0.028543885901202,0.0045662100456621,0.0
Majority,24,4,0.5070467242254952,0.025596966899728374,0.5,0.0,0.6725166118849188,0.02264096738166245,0.5,0.0,0.10001504079299708,0.45847536505258285,0.4168489988131912,1.3878330492433988,-0.6491248148684846,0.33122277381023507,0.5015151515151515,0.018741389207353052,0.009090909090909,0.0
