suite_name,config_name,label,fold,symbol,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,cumulative_return,sharpe,max_drawdown,turnover,hit_rate,cost_adjusted_return
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,1,BTCUSDT,0.4796590468810539,0.0,0.0,0.0,0.5,0.5179771976273791,-0.37062650209917336,-0.44935581280890097,-0.4470179085249457,0.0003874467260751647,0.4792716001549787,-0.00016282889738132374
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,1,ETHUSDT,0.49864393645873695,0.5323383084577115,0.08186687069625095,0.1419098143236074,0.5040417555993029,0.49672395589982216,-0.2305535642680513,-0.13631061067973493,-0.5118976026851964,0.043781480046493605,0.4974815962805114,-6.901866196020049e-05
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,1,SOLUSDT,0.5,0.55,0.1004566210045662,0.16988416988416988,0.5075742820662641,0.513346666474304,-0.17529384402774895,-0.026809129101074212,-0.5787458997764883,0.0624031007751938,0.4965116279069767,-1.796341532356225e-05
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,2,BTCUSDT,0.49631925610228594,0.49748427672955975,0.6122291021671826,0.5489243580846634,0.4961843726506976,0.4971198903798994,0.006463611417130144,0.05081916927797855,-0.26620438942118574,0.056954668733049205,0.49631925610228594,1.7570377809234096e-05
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,2,ETHUSDT,0.4782945736434108,0.48853211009174313,0.1594311377245509,0.24040632054176073,0.49008534378188956,0.5007355666480544,-0.4160923627310694,-0.31480480326628274,-0.5646904083669153,0.026744186046511628,0.47790697674418603,-0.0001711583696844947
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,2,SOLUSDT,0.4912824486633088,0.48400556328233657,0.26976744186046514,0.3464410154305625,0.4911966566389855,0.4848909264496605,-0.2966187310941133,-0.13092191764030994,-0.749355381101084,0.035257652072839984,0.48740798140255714,-8.408718884968023e-05
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,3,BTCUSDT,0.5042635658914729,0.5042635658914729,1.0,0.6704457614017006,0.5,0.48900016166069404,0.07918218455013637,0.16402564495700772,-0.15374119744424974,0.0003875968992248062,0.5042635658914729,3.54045053580967e-05
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,3,ETHUSDT,0.5182029434546863,0.517829457364341,1.0,0.6823289070480082,0.5008025682182986,0.48621637143049373,0.7861471124310428,0.5741150599112449,-0.2650210381893121,0.0019364833462432224,0.5182029434546863,0.00024820649829976154
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,3,SOLUSDT,0.515304145679969,0.515304145679969,1.0,0.6801329583226796,0.5,0.4938884982239772,0.4142397313693942,0.33897473788454524,-0.2872558924439049,0.0003874467260751647,0.515304145679969,0.00016367908713776937
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,4,BTCUSDT,0.4992248062015504,0.4986418315871168,1.0,0.665458311755567,0.5011583011583012,0.4866045701065156,-0.2240241107874037,-0.29876809892435036,-0.3826344025456412,0.0050387596899224806,0.4992248062015504,-8.748480182291588e-05
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,4,ETHUSDT,0.5125920185974429,0.5079458505002943,0.6715953307392996,0.5784182305630027,0.5132668011721189,0.5066006749291445,0.1264874860383245,0.15935614508057513,-0.46049135681073794,0.416505230530802,0.5125920185974429,7.146582579307698e-05
long_history_cnn_full_ablation,cnn_ohlcv,1D CNN,4,SOLUSDT,0.5230530802014723,0.5282289249806651,0.5237730061349694,0.5259915286869464,0.5230454693948143,0.5286576812025885,0.3843212222986059,0.30864258453016613,-1.001967666197614,0.6063541263076327,0.519953506392871,0.0001597241314666303
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),1,BTCUSDT,0.4796590468810539,0.0,0.0,0.0,0.5,0.5240858781908706,-0.37062650209917336,-0.44935581280890097,-0.4470179085249457,0.0003874467260751647,0.4792716001549787,-0.00016282889738132374
