suite_name,config_name,label,fold,symbol,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,cumulative_return,sharpe,max_drawdown,turnover,hit_rate,cost_adjusted_return
long_history_naive_vs_best,majority_ohlcv,Majority,1,BTCUSDT,0.519406392694064,0.519406392694064,1.0,0.6836964688204358,0.5,0.5,0.4453010026200701,0.4346625343958703,-0.2560251418121027,0.000380517503805175,0.519406392694064,0.0001564878951299631
long_history_naive_vs_best,majority_ohlcv,Majority,1,ETHUSDT,0.5045662100456622,0.5045662100456622,1.0,0.6707132018209409,0.5,0.5,0.05806628876909925,0.10648271719613751,-0.6176314032598456,0.000380517503805175,0.5045662100456622,5.3562087811339105e-05
long_history_naive_vs_best,majority_ohlcv,Majority,1,SOLUSDT,0.5097068899885802,0.5097068899885802,1.0,0.6752395360564801,0.5,0.5,0.26078984174455444,0.2163777811417023,-0.6383315475738889,0.00038066235249333843,0.5097068899885802,0.00014425204599793827
long_history_naive_vs_best,majority_ohlcv,Majority,2,BTCUSDT,0.4992389649923896,0.4992389649923896,1.0,0.665989847715736,0.5,0.5,0.10652541877954014,0.15511014829762973,-0.2517932342518726,0.000380517503805175,0.4992389649923896,5.355778601552394e-05
long_history_naive_vs_best,majority_ohlcv,Majority,2,ETHUSDT,0.5165588123334602,0.5165588123334602,1.0,0.6812248995983936,0.5,0.5,-0.08715019431097226,0.004614613147034963,-0.5056387315776659,0.00038066235249333843,0.5165588123334602,2.5075909318578857e-06
long_history_naive_vs_best,majority_ohlcv,Majority,2,SOLUSDT,0.4992389649923896,0.4992389649923896,1.0,0.665989847715736,0.5,0.5,-0.12696322231815604,0.0003059375025861867,-0.5562862488455087,0.000380517503805175,0.4992389649923896,1.9677452633909756e-07
long_history_naive_vs_best,majority_ohlcv,Majority,3,BTCUSDT,0.50399695470118,0.50399695470118,1.0,0.6702100733991394,0.5,0.5,0.059066042103936844,0.12849291535836327,-0.15081286438953734,0.00038066235249333843,0.50399695470118,2.7697619533773396e-05
long_history_naive_vs_best,majority_ohlcv,Majority,3,ETHUSDT,0.5195891974134652,0.5195891974134652,1.0,0.683854818523154,0.5,0.5,0.8433701076762645,0.5943000628844474,-0.27470077278741223,0.0003803727653100038,0.5195891974134652,0.00025602021226010953
long_history_naive_vs_best,majority_ohlcv,Majority,3,SOLUSDT,0.5159817351598174,0.5159817351598174,1.0,0.6807228915662651,0.5,0.5,0.39255372009989853,0.32280002925846885,-0.2868592910410409,0.000380517503805175,0.5159817351598174,0.0001551118873623751
long_history_naive_vs_best,majority_ohlcv,Majority,4,BTCUSDT,0.49942900647126,0.49942900647126,1.0,0.6661589235846661,0.5,0.5,-0.24366141179444212,-0.3287282840586974,-0.37773332157918504,0.00038066235249333843,0.49942900647126,-9.562431303733938e-05
