suite_name,config_name,label,fold,run_id,train_rows,test_rows,test_start,test_end,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,cumulative_return,sharpe,max_drawdown,turnover,hit_rate,cost_adjusted_return
long_history_tf_15m_models,majority_ohlcv,Majority,1,majority_ohlcv_wf_fold01_20260325T084126Z,189343,31557,2024-10-19T16:30:00+00:00,2025-02-06T06:15:00+00:00,0.5028361377824254,0.5028361377824254,1.0,0.6691829204006325,0.5,0.5,0.2928911356978299,0.1357004445100483,-0.3778363984466677,9.50660709192889e-05,0.5028361377824254,3.0752271230524605e-05
long_history_tf_15m_models,majority_ohlcv,Majority,2,majority_ohlcv_wf_fold02_20260325T084126Z,220900,31557,2025-02-06T06:15:00+00:00,2025-05-26T20:00:00+00:00,0.5017587223120068,0.5017587223120068,1.0,0.6682281445844147,0.5,0.5,-0.033727308829178404,0.015076205032048106,-0.43010317428734246,9.50660709192889e-05,0.5017587223120068,3.45249702538074e-06
long_history_tf_15m_models,majority_ohlcv,Majority,3,majority_ohlcv_wf_fold03_20260325T084126Z,252457,31557,2025-05-26T20:00:00+00:00,2025-09-13T09:45:00+00:00,0.5037234211110054,0.5037234211110054,1.0,0.6699681790403136,0.5,0.5,0.4176166715926639,0.21364691760910834,-0.21072818432528784,9.50660709192889e-05,0.5037234211110054,3.691966432588077e-05
long_history_tf_15m_models,majority_ohlcv,Majority,4,majority_ohlcv_wf_fold04_20260325T084126Z,284014,31557,2025-09-13T09:45:00+00:00,2025-12-31T23:30:00+00:00,0.4983205526332467,0.4983205526332467,1.0,0.6651721512562389,0.5,0.5,-0.36976916345986266,-0.18820222283512084,-0.4337644107833084,9.506305849546866e-05,0.4983205526332467,-3.855327887519674e-05
long_history_tf_15m_models,logistic_ohlcv,LogReg,1,logistic_ohlcv_wf_fold01_20260325T084128Z,189343,31557,2024-10-19T16:30:00+00:00,2025-02-06T06:15:00+00:00,0.5240675602877333,0.5257663125948406,0.5458784976052432,0.5356336765296973,0.5239431368770686,0.5277409533424801,-0.8917656500193847,-1.0394096596273608,-0.8995636275736536,0.9963241119244541,0.5231485882688468,-0.00020607379565440822
long_history_tf_15m_models,logistic_ohlcv,LogReg,2,logistic_ohlcv_wf_fold02_20260325T084128Z,220900,31557,2025-02-06T06:15:00+00:00,2025-05-26T20:00:00+00:00,0.5195677662642203,0.5212530790121898,0.5212201591511937,0.5212366185619098,0.5195619335474851,0.5239375695132362,-0.9303603555355233,-1.1872820466230727,-0.9794721719830125,1.0128022308837976,0.518363596032576,-0.00024781857222766897
long_history_tf_15m_models,logistic_ohlcv,LogReg,3,logistic_ohlcv_wf_fold03_20260325T084128Z,252457,31557,2025-05-26T20:00:00+00:00,2025-09-13T09:45:00+00:00,0.5147827740279495,0.5200880572372042,0.47559134373427275,0.4968454258675079,0.515076816110799,0.5182205061139538,-0.9399650270663894,-1.7127081509846396,-0.9452548832937118,1.0015844345153215,0.5125962543968058,-0.00026428403516532914
long_history_tf_15m_models,logistic_ohlcv,LogReg,4,logistic_ohlcv_wf_fold04_20260325T084129Z,284014,31557,2025-09-13T09:45:00+00:00,2025-12-31T23:30:00+00:00,0.5000950630584955,0.4982725262576009,0.4585399974564416,0.47758129677462086,0.49995595122948405,0.4990360601140926,-0.9684279256316057,-1.7445012823267347,-0.9812978662518996,1.0116293808226122,0.49806705114392547,-0.0003240918333495635
long_history_tf_15m_models,lstm_ohlcv,LSTM,1,lstm_ohlcv_wf_fold01_20260325T084130Z,189343,31557,2024-10-20T04:15:00+00:00,2025-02-06T06:15:00+00:00,0.5228545963840081,0.5382204918811129,0.3588477366255144,0.4306009268403859,0.5237680204156956,0.5317174676932552,-0.5202264726402188,-0.34142201556322305,-0.5742049868142671,0.4522217978100331,0.5217723453017571,-6.519793943351765e-05
long_history_tf_15m_models,lstm_ohlcv,LSTM,2,lstm_ohlcv_wf_fold02_20260325T084300Z,220900,31557,2025-02-06T18:00:00+00:00,2025-05-26T20:00:00+00:00,0.5148332060096766,0.5193854106835152,0.4583702952730959,0.4869740828004039,0.5151004604163868,0.5209056924486366,-0.792548012237666,-0.7275141371638484,-0.8431544181412722,0.48303412274000507,0.5134008148714031,-0.0001450618481195173
long_history_tf_15m_models,lstm_ohlcv,LSTM,3,lstm_ohlcv_wf_fold03_20260325T084443Z,252457,31557,2025-05-27T07:45:00+00:00,2025-09-13T09:45:00+00:00,0.5157563025210085,0.5212699296804288,0.4731420626895854,0.4960413422996654,0.5160733402211396,0.5213421099254446,-0.8136440290319866,-1.0546144045587313,-0.8161564608143184,0.5684046345811051,0.5137827858416094,-0.00015748793457774925
long_history_tf_15m_models,lstm_ohlcv,LSTM,4,lstm_ohlcv_wf_fold04_20260325T084641Z,284014,31557,2025-09-13T21:30:00+00:00,2025-12-31T23:30:00+00:00,0.5067001941623962,0.5058456742010912,0.45578752473983275,0.4795137023105857,0.5065531504618295,0.5069669193441191,-0.8926326566845298,-1.153940964420827,-0.8925695691854302,0.6167679918515453,0.5046949103988286,-0.00020893795794023527
long_history_tf_15m_models,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),1,cnn_ohlcv_open_interest_wf_fold01_20260325T085015Z,189294,31549,2024-10-20T02:45:00+00:00,2025-02-06T04:45:00+00:00,0.4979941416199694,0.5037481259370314,0.08513333755621715,0.14565158493633162,0.5001878197927684,0.5021759834152179,-0.06875892955985796,-0.011410107329219104,-0.329389432685647,0.011875955170657157,0.4964021905247071,-2.358884977387729e-06
long_history_tf_15m_models,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),2,cnn_ohlcv_open_interest_wf_fold02_20260325T085239Z,220843,31549,2025-02-06T16:30:00+00:00,2025-05-26T17:45:00+00:00,0.500509424350484,0.5110330992978936,0.12918356997971603,0.2062335559603319,0.5022197276715366,0.5001784981261457,0.010666720574914024,0.028331921483655834,-0.44137482058489497,0.008118950585838003,0.49767575140091697,5.156563473671724e-06
long_history_tf_15m_models,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),3,cnn_ohlcv_open_interest_wf_fold03_20260325T085530Z,252392,31549,2025-05-27T05:45:00+00:00,2025-09-13T10:30:00+00:00,0.5050624044829343,0.5241935483870968,0.18898931799506985,0.2778164924506388,0.5074349297359708,0.5112046610244048,-0.6401485076700788,-0.6735204268769189,-0.642727502966046,0.3257450331125828,0.5028655119714722,-9.516662760358132e-05
long_history_tf_15m_models,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),4,cnn_ohlcv_open_interest_wf_fold04_20260325T090045Z,283941,31549,2025-09-13T22:15:00+00:00,2025-12-31T23:30:00+00:00,0.5015282730514519,0.500199203187251,0.1603653084685145,0.24286681497243448,0.5005318605834637,0.5001768333850336,-0.4467715524375723,-0.32175749143772825,-0.5945632885284536,0.26601502801833926,0.4992995415180846,-5.312626923971067e-05
