config_name,label,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,cumulative_return_mean,cumulative_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,hit_rate_mean,hit_rate_std,turnover_mean,turnover_std,suite_name,timeframe
cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),4,0.5012735608762098,0.0025376519391251,0.5025935844459348,0.0028989999118931,0.2181421120799342,0.0489107167197564,0.5034339939877005,0.0045599672502104,-0.2862530672731487,0.2676159688661183,-0.2445890260400526,0.2823098344036659,-0.5020137611912604,0.1243402710754596,0.4990607488537952,0.0024248399252217,0.1529387417218543,0.1444989122113813,long_history_tf_15m_models,15m
lstm_ohlcv,LSTM,4,0.5150360747692724,0.0057266060952403,0.5153737428787629,0.006099812818817,0.4732825135627602,0.0253276968554957,0.5202330473528638,0.0087972230577888,-0.7547627926486002,0.1404547147925175,-0.8193728804266573,0.3178637426009132,-0.781521358738822,0.1227904794949923,0.5134127141033995,0.006041949807122,0.5301071367456721,0.0656863700032838,long_history_tf_15m_models,15m
logistic_ohlcv,LogReg,4,0.5146282909095996,0.0090102275217921,0.5146344594412092,0.0090358419560341,0.5078242544334339,0.0222958888221333,0.5172337722709407,0.0110393854330344,-0.9326297395632258,0.0274332849229393,-1.420975284890452,0.3122426909356641,-0.9513971372755694,0.033191494313816,0.5130438724605385,0.0094195312931469,1.0055850395365464,0.006899121924157,long_history_tf_15m_models,15m
majority_ohlcv,Majority,4,0.5016597084596711,0.0020495524654672,0.5,0.0,0.6681378488204,0.001819738902206,0.5,0.0,0.0767528337503631,0.3059786256482311,0.0440553360790209,0.1516109281468561,-0.3631080419606516,0.0907155109510317,0.5016597084596711,0.0020495524654672,9.506531781333384e-05,1.304417777646282e-09,long_history_tf_15m_models,15m
cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),4,0.5079134366925064,0.0040911164335899,0.5002620034769206,0.0012950088955729,0.6602321213411526,0.0243834685054505,0.5002210370467072,0.0071162626111988,0.0837932606258795,0.2476973326496807,0.0828379038665629,0.2846636499692932,-0.352800342044809,0.0934792288375794,0.5079134366925064,0.0040911164335899,0.0037467700258397,0.0020832707359944,long_history_tf_1h_models,1h
lstm_ohlcv,LSTM,4,0.5126413877779223,0.008029653621388,0.5127148470891592,0.0049677227021833,0.4924954308989453,0.0780290257927617,0.520149740432673,0.0061888493863846,-0.3028573225137527,0.156448495866063,-0.3713240610536462,0.2467915314463737,-0.4933582632946404,0.1039358356913795,0.511704945589141,0.0081516558785051,0.468274971772239,0.0310299367793126,long_history_tf_1h_models,1h
logistic_ohlcv,LogReg,4,0.5122886526072938,0.0028740891233288,0.5115423545061744,0.0031696478406357,0.534409311248425,0.0077938857773205,0.5162502941130931,0.005656360156789,-0.3070317530389621,0.1675356880234694,-0.3731057173287001,0.2365041934039586,-0.5186090342907358,0.1531612300805776,0.5113055444693971,0.0030722830118581,0.7562280356492238,0.1026313271577357,long_history_tf_1h_models,1h
majority_ohlcv,Majority,4,0.5076584678652333,0.0047958320702108,0.5,0.0,0.6734261832098012,0.004222034084869,0.5,0.0,0.0728461313545533,0.299770540060269,0.0822046717700897,0.3053817351486464,-0.3549140322809507,0.0932354204357959,0.5076584678652333,0.0047958320702108,0.0003805537067898,2.0901802922747013e-08,long_history_tf_1h_models,1h
cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),4,0.5205704882062534,0.003993477723138,0.5106420587694673,0.0074082253753604,0.6086943051274917,0.0692546449610032,0.5042530673729841,0.0151669287015486,0.3140080631732708,0.1141972965362076,0.8068116149872354,0.166240723614418,-0.186770112462282,0.0186014231055185,0.5204333516182117,0.0039816870929671,0.0128908392759188,0.0110358746784041,long_history_tf_4h_models,4h
lstm_ohlcv,LSTM,4,0.5218590032444124,0.0043472546943523,0.5143947087701164,0.0104168702901228,0.5654143087026982,0.082039620206924,0.5157707784835688,0.0118243573239404,0.2702810574424317,0.0977525242924621,0.6796119410454562,0.1700418230270953,-0.2110707601166854,0.0477401813165426,0.5218590032444124,0.0043472546943523,0.1913044490507089,0.0961426529448131,long_history_tf_4h_models,4h
logistic_ohlcv,LogReg,4,0.5126562504044585,0.0080701902943393,0.5125269612499019,0.0085218176566297,0.5240223926096719,0.0148352470445699,0.5066806130538994,0.015199626108502,0.0853641883486153,0.3027712261584521,0.2627558622587688,0.8166005727357645,-0.2341669208897823,0.0790915912519266,0.5124018621916084,0.0081322884139348,0.413439605610907,0.0386908684860237,long_history_tf_4h_models,4h
majority_ohlcv,Majority,4,0.5069351365063588,0.010427925011384,0.5,0.0,0.6727389555992321,0.0092352327694524,0.5,0.0,0.0641405527776947,0.2748921471959106,0.170435075365303,0.5770668839915126,-0.3406621325251113,0.0959132251979959,0.5069351365063588,0.010427925011384,0.0015265234171759,3.3626047532653194e-07,long_history_tf_4h_models,4h
