suite_name,config_name,label,fold,run_id,train_rows,test_rows,test_start,test_end,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,cumulative_return,sharpe,max_drawdown,turnover,hit_rate,cost_adjusted_return,horizon
long_history_h24_naive_vs_best,random_ohlcv,Random,4,random_ohlcv_wf_fold04_20260325T083230Z,70888,7876,2025-09-12T13:00:00+00:00,2025-12-30T22:00:00+00:00,0.5011427120365668,0.472530179847253,0.51753912574204,0.4940115904700579,0.5020549345736579,0.5,0.0841041495360572,0.4298332400023749,-0.4443171967725174,1.0575757575757576,0.4909090909090909,0.0009358026157365,24
long_history_h24_naive_vs_best,persistence_ohlcv,Persistence,1,persistence_ohlcv_wf_fold01_20260325T083230Z,47260,7876,2024-10-19T09:00:00+00:00,2025-02-05T18:00:00+00:00,0.4956830878618588,0.5168400198117881,0.5080331061343719,0.512398723299779,0.4951258948930883,0.4951258948930882,-0.3476644059656252,-0.4628785536163744,-0.4786575124390668,1.003030303030303,0.4545454545454545,-0.0013848947700527,24
long_history_h24_naive_vs_best,persistence_ohlcv,Persistence,2,persistence_ohlcv_wf_fold02_20260325T083230Z,55136,7876,2025-02-05T18:00:00+00:00,2025-05-26T03:00:00+00:00,0.4831132554596242,0.4809714571857786,0.4901760653227864,0.485530140275496,0.4831471683702635,0.4831471683702635,0.027034870255451,0.3785382135385009,-1.0469092173176515,1.1242424242424245,0.4878787878787878,-0.000127418037445,24
long_history_h24_naive_vs_best,persistence_ohlcv,Persistence,3,persistence_ohlcv_wf_fold03_20260325T083230Z,63012,7876,2025-05-26T04:00:00+00:00,2025-09-12T13:00:00+00:00,0.499746063991874,0.5372432566196486,0.5119075689695827,0.5242695001207438,0.4987323264380238,0.4987323264380238,0.4991641807267262,2.731092027736198,-0.1700956573708436,0.9606060606060606,0.5484848484848485,0.0039497806439731,24
long_history_h24_naive_vs_best,persistence_ohlcv,Persistence,4,persistence_ohlcv_wf_fold04_20260325T083230Z,70888,7876,2025-09-12T13:00:00+00:00,2025-12-30T22:00:00+00:00,0.4917470797359065,0.4625850340136054,0.4954128440366973,0.4784364820846905,0.4919510263348954,0.4919510263348954,0.2110026937073017,0.7184943674487815,-0.2494086001593944,1.0515151515151515,0.4969696969696969,0.0009738969662396,24
long_history_h24_naive_vs_best,logistic_ohlcv,LogReg,1,logistic_ohlcv_wf_fold01_20260325T083231Z,47260,7876,2024-10-19T09:00:00+00:00,2025-02-05T18:00:00+00:00,0.5302183849669884,0.5413793103448276,0.6497078870496592,0.5906173932285904,0.5248274042466979,0.5325567428889206,1.354267700070905,1.9527558826651337,-0.4975158390307308,0.5424242424242425,0.5515151515151515,0.0041466508680194,24
long_history_h24_naive_vs_best,logistic_ohlcv,LogReg,2,logistic_ohlcv_wf_fold02_20260325T083231Z,55136,7876,2025-02-05T18:00:00+00:00,2025-05-26T03:00:00+00:00,0.5091416962925343,0.5050853962771061,0.6715998979331462,0.5765607886089814,0.5099217584181779,0.5194879788035234,-0.1458584405648064,0.0312702021764638,-0.4089602568968444,0.5909090909090909,0.4878787878787878,-0.0003697580420021,24
long_history_h24_naive_vs_best,logistic_ohlcv,LogReg,3,logistic_ohlcv_wf_fold03_20260325T083231Z,63012,7876,2025-05-26T04:00:00+00:00,2025-09-12T13:00:00+00:00,0.4831132554596242,0.5210708973723351,0.4956378212685687,0.508036253776435,0.482069254513239,0.4732439956188475,-0.0918302588488269,-0.4909718616411348,-0.1661128991674301,0.3848484848484848,0.5,-0.0006537776894018,24
long_history_h24_naive_vs_best,logistic_ohlcv,LogReg,4,logistic_ohlcv_wf_fold04_20260325T083231Z,70888,7876,2025-09-12T13:00:00+00:00,2025-12-30T22:00:00+00:00,0.500126968004063,0.4717258261933904,0.5199676200755532,0.494673341034527,0.5012308124358581,0.5020733116690673,-0.0213453213391862,0.1573241114046928,-0.3738632747374393,0.5969696969696969,0.5060606060606061,0.0012908853025828,24
long_history_h24_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),1,cnn_ohlcv_open_interest_wf_fold01_20260325T083235Z,47244,7874,2024-10-21T06:00:00+00:00,2025-02-05T17:00:00+00:00,0.5193327298590457,0.5193327298590457,1.0,0.6836326495871989,0.5,0.4648534929424084,0.4817729462577875,1.043353104282067,-0.844226756765915,0.0092592592592592,0.5246913580246914,0.0024961463706694,24
long_history_h24_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),2,cnn_ohlcv_open_interest_wf_fold02_20260325T083405Z,55118,7874,2025-02-07T16:00:00+00:00,2025-05-26T02:00:00+00:00,0.5032975559291348,0.5032975559291348,1.0,0.6695913978494623,0.5,0.4980949781031351,-0.1073723707453743,0.1144371840667995,-0.6949434780102957,0.0092592592592592,0.4660493827160494,0.0005700429849205,24
long_history_h24_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),3,cnn_ohlcv_open_interest_wf_fold03_20260325T083506Z,62992,7874,2025-05-28T01:00:00+00:00,2025-09-12T14:00:00+00:00,0.540411224621751,0.540411224621751,1.0,0.701645399597045,0.5,0.5088102301038111,0.7115877234263992,1.6311577420969032,-0.2986423705559482,0.0092592592592592,0.5401234567901234,0.0036049789177781,24
long_history_h24_naive_vs_best,cnn_ohlcv_open_interest,1D CNN (OHLCV + Open Interest),4,cnn_ohlcv_open_interest_wf_fold04_20260325T083720Z,70866,7874,2025-09-14T13:00:00+00:00,2025-12-30T23:00:00+00:00,0.5111197310576674,0.4877527216174183,0.6864569083447333,0.5702920786453006,0.5202326218605255,0.5213883864805522,-0.0871799424582652,-0.0427905231677128,-0.2751966228737413,0.1635802469135802,0.5246913580246914,-0.0011891952586144,24
